CoC_Number,State,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Homeless_People_in_Families,Chronically_Homeless,Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_18,Count_Year
AK-500,AK,Anchorage CoC,1023,665,305,0,970,53,736,287,101,138,,2014
AK-500,AK,Anchorage CoC,1147,704,393,0,1097,50,791,356,114,174,,2012
AK-500,AK,Anchorage CoC,1094,751,249,0,1000,94,814,280,177,62,5,2018
AK-500,AK,Anchorage CoC,1122,676,394,0,1070,52,844,278,89,144,,2013
AK-500,AK,Anchorage CoC,1105,573,292,0,865,240,905,200,50,89,3,2016
AK-500,AK,Anchorage CoC,1208,694,335,0,1029,179,837,371,127,130,12,2015
AK-500,AK,Anchorage CoC,1128,654,319,0,973,155,848,280,116,69,8,2017
AK-501,AK,Alaska Balance of State CoC,824,461,210,0,671,153,518,306,95,66,,2013
AK-501,AK,Alaska Balance of State CoC,748,433,177,0,610,138,505,243,95,50,12,2015
AK-501,AK,Alaska Balance of State CoC,717,363,215,0,578,139,506,211,141,55,7,2017
AK-501,AK,Alaska Balance of State CoC,922,497,210,0,707,215,620,302,180,70,3,2018
AK-501,AK,Alaska Balance of State CoC,835,434,199,0,633,202,622,213,72,79,16,2016
AK-501,AK,Alaska Balance of State CoC,766,435,184,0,619,147,507,259,165,82,,2012
AK-501,AK,Alaska Balance of State CoC,761,474,195,0,669,92,473,288,105,40,,2014
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1329,387,497,31,915,414,915,414,331,174,,2014
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1092,540,304,31,875,217,932,160,92,40,2,2017
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1469,373,556,31,960,509,1089,380,427,194,,2013
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",901,431,219,32,682,219,720,181,119,133,4,2018
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1153,448,448,20,916,237,886,267,241,144,9,2015
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1707,347,630,32,1009,698,1222,485,495,175,,2012
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1228,531,467,34,1032,196,927,301,92,158,9,2016
AL-501,AL,Mobile City & County/Baldwin County CoC,551,225,93,0,318,233,399,152,59,52,0,2018
AL-501,AL,Mobile City & County/Baldwin County CoC,606,196,145,0,341,265,426,180,65,76,0,2017
AL-501,AL,Mobile City & County/Baldwin County CoC,623,284,103,0,387,236,477,146,80,66,0,2016
AL-501,AL,Mobile City & County/Baldwin County CoC,493,153,107,0,260,233,343,150,91,41,,2013
AL-501,AL,Mobile City & County/Baldwin County CoC,634,212,112,0,324,310,422,212,75,52,,2012
AL-501,AL,Mobile City & County/Baldwin County CoC,578,258,106,0,364,214,470,108,107,94,1,2015
AL-501,AL,Mobile City & County/Baldwin County CoC,598,287,174,0,461,137,397,201,75,61,,2014
AL-502,AL,Florence/Northwest Alabama CoC,209,38,151,0,189,20,132,77,13,7,,2014
AL-502,AL,Florence/Northwest Alabama CoC,245,60,154,0,214,31,158,87,28,16,0,2015
AL-502,AL,Florence/Northwest Alabama CoC,192,18,170,0,188,4,162,30,3,7,,2012
AL-502,AL,Florence/Northwest Alabama CoC,155,27,106,0,133,22,155,0,24,11,0,2017
AL-502,AL,Florence/Northwest Alabama CoC,223,22,175,0,197,26,133,90,30,2,,2013
AL-502,AL,Florence/Northwest Alabama CoC,337,85,201,0,286,51,194,143,39,19,0,2016
AL-502,AL,Florence/Northwest Alabama CoC,256,128,106,0,234,22,166,90,136,8,16,2018
AL-503,AL,Huntsville/North Alabama CoC,607,336,96,0,432,175,448,159,185,42,,2012
AL-503,AL,Huntsville/North Alabama CoC,424,283,25,0,308,116,336,88,111,34,5,2018
AL-503,AL,Huntsville/North Alabama CoC,536,413,86,0,499,37,386,150,107,64,,2014
AL-503,AL,Huntsville/North Alabama CoC,420,339,18,0,357,63,300,120,119,39,3,2015
AL-503,AL,Huntsville/North Alabama CoC,586,320,89,0,409,177,457,129,120,77,,2013
AL-503,AL,Huntsville/North Alabama CoC,385,282,16,0,298,87,283,102,102,29,3,2016
AL-503,AL,Huntsville/North Alabama CoC,436,325,12,0,337,99,327,109,64,27,13,2017
AL-504,AL,Montgomery City & County CoC,369,173,127,0,300,69,272,97,63,54,9,2018
AL-504,AL,Montgomery City & County CoC,487,96,247,0,343,144,383,104,82,67,,2012
AL-504,AL,Montgomery City & County CoC,441,171,202,0,373,68,333,108,24,40,2,2015
AL-504,AL,Montgomery City & County CoC,377,221,93,0,314,63,284,93,45,55,5,2017
AL-504,AL,Montgomery City & County CoC,367,173,120,0,293,74,285,82,28,41,0,2016
AL-504,AL,Montgomery City & County CoC,490,120,289,0,409,81,365,125,37,39,,2014
AL-504,AL,Montgomery City & County CoC,515,159,240,0,399,116,446,69,69,59,,2013
AL-505,AL,Gadsden/Northeast Alabama CoC,146,74,4,8,86,60,119,27,35,8,8,2018
AL-505,AL,Gadsden/Northeast Alabama CoC,544,211,213,0,424,120,451,93,44,13,,2012
AL-505,AL,Gadsden/Northeast Alabama CoC,167,55,36,0,91,76,133,34,22,13,14,2016
AL-505,AL,Gadsden/Northeast Alabama CoC,163,91,12,0,103,60,130,33,43,4,14,2017
AL-505,AL,Gadsden/Northeast Alabama CoC,438,354,14,0,368,70,359,79,36,34,,2014
AL-505,AL,Gadsden/Northeast Alabama CoC,156,97,6,0,103,53,140,16,2,11,14,2015
AL-505,AL,Gadsden/Northeast Alabama CoC,399,159,170,0,329,70,275,124,40,31,,2013
AL-506,AL,Tuscaloosa City & County CoC,245,11,122,0,133,112,167,78,80,90,,2014
AL-506,AL,Tuscaloosa City & County CoC,57,35,21,0,56,1,35,22,4,10,0,2018
AL-506,AL,Tuscaloosa City & County CoC,177,14,33,0,47,130,105,72,13,19,0,2016
AL-506,AL,Tuscaloosa City & County CoC,99,11,84,0,95,4,72,27,9,66,,2013
AL-506,AL,Tuscaloosa City & County CoC,152,12,116,0,128,24,99,53,39,114,,2012
AL-506,AL,Tuscaloosa City & County CoC,200,93,41,3,137,63,140,60,24,41,0,2017
AL-506,AL,Tuscaloosa City & County CoC,339,0,144,0,144,195,188,151,50,81,0,2015
AL-507,AL,Alabama Balance of State CoC,730,170,270,0,440,290,523,207,13,40,2,2018
AL-507,AL,Alabama Balance of State CoC,886,431,385,0,816,70,638,248,46,56,,2012
AL-507,AL,Alabama Balance of State CoC,716,241,303,0,544,172,394,322,50,73,,2014
AL-507,AL,Alabama Balance of State CoC,905,358,239,0,597,308,572,333,72,41,,2013
AL-507,AL,Alabama Balance of State CoC,764,151,265,0,416,348,591,173,6,15,2,2017
AL-507,AL,Alabama Balance of State CoC,827,177,282,0,459,368,615,212,44,28,2,2016
AL-507,AL,Alabama Balance of State CoC,638,201,271,0,472,166,393,245,36,49,3,2015
AR-500,AR,Little Rock/Central Arkansas CoC,1066,244,319,0,563,503,986,80,373,260,,2013
AR-500,AR,Little Rock/Central Arkansas CoC,1006,316,140,0,456,550,892,114,226,121,8,2017
AR-500,AR,Little Rock/Central Arkansas CoC,830,254,237,0,491,339,764,66,220,190,0,2015
AR-500,AR,Little Rock/Central Arkansas CoC,1074,342,229,0,571,503,951,123,350,197,,2014
AR-500,AR,Little Rock/Central Arkansas CoC,1081,335,196,0,531,550,950,131,232,124,14,2018
AR-500,AR,Little Rock/Central Arkansas CoC,1249,329,433,0,762,487,1065,184,123,266,,2012
AR-500,AR,Little Rock/Central Arkansas CoC,808,288,181,0,469,339,742,66,208,121,3,2016
AR-501,AR,Fayetteville/Northwest Arkansas CoC,665,431,173,0,604,61,330,335,202,197,0,2015
AR-501,AR,Fayetteville/Northwest Arkansas CoC,668,313,133,0,446,222,379,289,65,147,,2013
AR-501,AR,Fayetteville/Northwest Arkansas CoC,474,107,216,0,323,151,348,126,42,60,22,2018
AR-501,AR,Fayetteville/Northwest Arkansas CoC,186,54,93,0,147,39,109,77,60,30,,2012
AR-501,AR,Fayetteville/Northwest Arkansas CoC,550,251,238,0,489,61,359,191,90,56,32,2016
AR-501,AR,Fayetteville/Northwest Arkansas CoC,330,127,108,0,235,95,235,95,66,46,0,2017
AR-501,AR,Fayetteville/Northwest Arkansas CoC,551,156,173,0,329,222,388,163,39,98,,2014
AR-503,AR,Arkansas  Balance of State  CoC,774,317,68,0,385,389,505,269,109,22,0,2015
AR-503,AR,Arkansas  Balance of State  CoC,768,243,66,0,309,459,666,102,107,31,0,2018
AR-503,AR,Arkansas  Balance of State  CoC,761,304,76,0,380,381,533,228,101,25,0,2016
AR-503,AR,Arkansas  Balance of State  CoC,1056,370,50,0,420,636,762,294,50,35,,2014
AR-503,AR,Arkansas  Balance of State  CoC,1760,376,94,0,470,1290,1603,157,114,46,,2013
AR-503,AR,Arkansas  Balance of State  CoC,875,332,82,0,414,461,761,114,110,33,0,2017
AR-503,AR,Arkansas  Balance of State  CoC,1930,399,163,0,562,1368,1788,142,171,60,,2012
AR-504,AR,Delta Hills CoC,57,16,10,6,32,25,51,6,18,11,0,2018
AR-504,AR,Delta Hills CoC,254,41,81,0,122,132,172,82,46,9,,2013
AR-504,AR,Delta Hills CoC,40,26,12,2,40,0,33,7,0,12,0,2015
AR-504,AR,Delta Hills CoC,785,40,27,0,67,718,423,362,83,6,,2012
AR-504,AR,Delta Hills CoC,89,79,0,10,89,0,27,62,24,0,0,2016
AR-505,AR,Southeast Arkansas CoC,88,78,10,0,88,0,49,39,0,2,9,2017
AR-505,AR,Southeast Arkansas CoC,70,58,12,0,70,0,39,31,0,1,,2014
AR-505,AR,Southeast Arkansas CoC,64,63,0,0,63,1,34,30,4,0,,2013
AR-505,AR,Southeast Arkansas CoC,89,78,0,0,78,11,46,43,26,2,14,2016
AR-505,AR,Southeast Arkansas CoC,101,85,10,0,95,6,53,48,0,3,7,2018
AR-505,AR,Southeast Arkansas CoC,64,64,0,0,64,0,43,21,0,0,,2012
AR-505,AR,Southeast Arkansas CoC,72,59,12,0,71,1,51,21,2,2,0,2015
AR-508,AR,Fort Smith CoC,166,92,19,0,111,55,131,35,54,18,0,2016
AR-508,AR,Fort Smith CoC,231,147,18,0,165,66,212,19,67,22,0,2018
AR-508,AR,Fort Smith CoC,185,95,18,0,113,72,163,22,80,30,,2014
AR-508,AR,Fort Smith CoC,179,74,13,0,87,92,150,29,90,33,0,2015
AR-508,AR,Fort Smith CoC,168,62,18,0,80,88,131,37,71,37,0,2017
AR-512,AR,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,,,,,,2018
AR-512,AR,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,,,,,,2013
AR-512,AR,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,,,,,,2016
AR-512,AR,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,,,,,,2015
AR-512,AR,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,,,,,,2014
AR-512,AR,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,,,,,,2012
AR-512,AR,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,,,,,,2017
AZ-500,AZ,Arizona Balance of State CoC,2435,915,471,0,1386,1049,1448,987,329,389,,2013
AZ-500,AZ,Arizona Balance of State CoC,1768,856,190,0,1046,722,1434,334,388,238,12,2017
AZ-500,AZ,Arizona Balance of State CoC,2187,850,252,0,1102,1085,1638,549,537,277,10,2018
AZ-500,AZ,Arizona Balance of State CoC,2240,771,252,0,1023,1217,1734,506,437,305,18,2016
AZ-500,AZ,Arizona Balance of State CoC,2398,1019,330,0,1349,1049,1679,719,266,263,,2014
AZ-500,AZ,Arizona Balance of State CoC,2402,851,246,0,1097,1305,1723,679,542,516,20,2015
AZ-500,AZ,Arizona Balance of State CoC,2451,1186,536,0,1722,729,1381,1070,545,273,,2012
AZ-501,AZ,Tucson/Pima County CoC,2238,801,923,13,1737,501,1602,636,360,322,,2013
AZ-501,AZ,Tucson/Pima County CoC,1765,568,801,15,1384,381,1305,460,213,281,16,2016
AZ-501,AZ,Tucson/Pima County CoC,1863,540,945,15,1500,363,1296,567,344,285,9,2015
AZ-501,AZ,Tucson/Pima County CoC,2179,714,983,15,1712,467,1475,704,290,285,,2014
AZ-501,AZ,Tucson/Pima County CoC,1380,666,337,14,1017,363,1079,301,263,203,0,2018
AZ-501,AZ,Tucson/Pima County CoC,2366,762,980,15,1757,609,1508,858,395,353,,2012
AZ-501,AZ,Tucson/Pima County CoC,1574,731,443,15,1189,385,1249,325,225,243,4,2017
AZ-502,AZ,"Phoenix, Mesa/Maricopa County CoC",5889,2177,2106,25,4308,1581,3460,2429,499,511,,2013
AZ-502,AZ,"Phoenix, Mesa/Maricopa County CoC",5605,2254,1271,21,3546,2059,3805,1800,939,489,39,2017
AZ-502,AZ,"Phoenix, Mesa/Maricopa County CoC",5631,2004,2313,25,4342,1289,3529,2102,480,419,54,2015
AZ-502,AZ,"Phoenix, Mesa/Maricopa County CoC",6485,2343,2368,25,4736,1749,3421,3064,955,852,,2012
AZ-502,AZ,"Phoenix, Mesa/Maricopa County CoC",6298,2099,1555,26,3680,2618,4542,1756,974,413,38,2018
AZ-502,AZ,"Phoenix, Mesa/Maricopa County CoC",5918,2558,2282,25,4865,1053,3040,2878,403,310,,2014
AZ-502,AZ,"Phoenix, Mesa/Maricopa County CoC",5702,2362,1669,25,4056,1646,3620,2082,745,450,66,2016
CA-500,CA,San Jose/Santa Clara City & County CoC,7631,918,1023,16,1957,5674,6564,1067,2518,718,,2013
CA-500,CA,San Jose/Santa Clara City & County CoC,7053,926,949,9,1884,5169,6270,783,2657,667,,2012
CA-500,CA,San Jose/Santa Clara City & County CoC,7394,1140,806,0,1946,5448,6319,1075,2097,660,509,2017
CA-500,CA,San Jose/Santa Clara City & County CoC,6524,777,1110,10,1897,4627,5585,939,2146,701,50,2016
CA-500,CA,San Jose/Santa Clara City & County CoC,6556,807,1113,9,1929,4627,5648,908,2207,703,59,2015
CA-500,CA,San Jose/Santa Clara City & County CoC,7567,819,1065,9,1893,5674,6681,886,2535,813,,2014
CA-500,CA,San Jose/Santa Clara City & County CoC,7254,1151,635,20,1806,5448,6267,987,2139,658,506,2018
CA-501,CA,San Francisco CoC,6996,2197,425,16,2638,4358,6309,687,1932,580,131,2016
CA-501,CA,San Francisco CoC,6858,2056,434,15,2505,4353,6257,601,2138,684,104,2017
CA-501,CA,San Francisco CoC,6857,2011,474,19,2504,4353,6211,646,1757,656,103,2018
CA-501,CA,San Francisco CoC,6775,1981,420,16,2417,4358,6175,600,1629,557,125,2015
CA-501,CA,San Francisco CoC,5895,1757,742,25,2524,3371,5177,718,1899,774,,2012
CA-501,CA,San Francisco CoC,6408,1522,517,54,2093,4315,5776,632,2321,720,,2014
CA-501,CA,San Francisco CoC,7008,1919,720,54,2693,4315,6329,679,2093,716,,2013
CA-502,CA,"Oakland, Berkeley/Alameda County CoC",4272,895,1040,0,1935,2337,3162,1110,1094,538,,2014
CA-502,CA,"Oakland, Berkeley/Alameda County CoC",4257,866,1179,0,2045,2212,3208,1049,1092,440,,2012
CA-502,CA,"Oakland, Berkeley/Alameda County CoC",4145,892,856,0,1748,2397,3148,997,753,401,11,2016
CA-502,CA,"Oakland, Berkeley/Alameda County CoC",4040,794,849,0,1643,2397,3055,985,750,388,13,2015
CA-502,CA,"Oakland, Berkeley/Alameda County CoC",5496,962,660,11,1633,3863,4801,695,1742,526,74,2018
CA-502,CA,"Oakland, Berkeley/Alameda County CoC",4264,914,1013,0,1927,2337,2922,1342,1054,492,,2013
CA-502,CA,"Oakland, Berkeley/Alameda County CoC",5629,1022,744,0,1766,3863,4918,711,1707,531,72,2017
CA-503,CA,Sacramento City & County CoC,2812,839,1018,0,1857,955,1985,827,463,329,,2012
CA-503,CA,Sacramento City & County CoC,2538,808,944,0,1752,786,1737,801,440,302,,2013
CA-503,CA,Sacramento City & County CoC,3621,1124,445,0,1569,2052,3104,517,1192,492,2,2018
CA-503,CA,Sacramento City & County CoC,2449,774,889,0,1663,786,1683,766,422,277,,2014
CA-503,CA,Sacramento City & County CoC,2659,931,780,0,1711,948,1925,734,502,313,7,2015
CA-503,CA,Sacramento City & County CoC,2500,870,682,0,1552,948,1921,579,540,308,6,2016
CA-503,CA,Sacramento City & County CoC,3665,977,636,0,1613,2052,3076,589,1126,469,3,2017
CA-504,CA,"Santa Rosa, Petaluma/Sonoma County CoC",4280,504,467,0,971,3309,3829,451,1168,400,,2013
CA-504,CA,"Santa Rosa, Petaluma/Sonoma County CoC",3097,634,403,0,1037,2060,2730,367,702,215,48,2015
CA-504,CA,"Santa Rosa, Petaluma/Sonoma County CoC",2835,655,333,0,988,1847,2509,326,598,211,116,2017
CA-504,CA,"Santa Rosa, Petaluma/Sonoma County CoC",4266,570,387,0,957,3309,3816,450,1260,421,,2014
CA-504,CA,"Santa Rosa, Petaluma/Sonoma County CoC",4483,530,587,0,1117,3366,3890,593,1032,384,,2012
CA-504,CA,"Santa Rosa, Petaluma/Sonoma County CoC",2906,588,412,0,1000,1906,2517,389,747,274,98,2016
CA-504,CA,"Santa Rosa, Petaluma/Sonoma County CoC",2996,801,266,0,1067,1929,2657,339,747,207,34,2018
CA-505,CA,Richmond/Contra Costa County CoC,1730,454,166,0,620,1110,1366,364,384,136,6,2016
CA-505,CA,Richmond/Contra Costa County CoC,2386,483,413,0,896,1490,1960,426,753,82,,2012
CA-505,CA,Richmond/Contra Costa County CoC,1607,502,194,0,696,911,1352,255,331,99,0,2017
CA-505,CA,Richmond/Contra Costa County CoC,2234,552,145,0,697,1537,1955,279,555,102,0,2018
CA-505,CA,Richmond/Contra Costa County CoC,2000,414,257,0,671,1329,1703,297,754,188,,2013
CA-505,CA,Richmond/Contra Costa County CoC,2009,423,257,0,680,1329,1660,349,775,176,,2014
CA-505,CA,Richmond/Contra Costa County CoC,2031,474,230,0,704,1327,1634,397,621,122,0,2015
CA-506,CA,"Salinas/Monterey, San Benito Counties CoC",3299,333,452,0,785,2514,2683,616,942,167,152,2018
CA-506,CA,"Salinas/Monterey, San Benito Counties CoC",3364,420,430,0,850,2514,2719,645,902,123,152,2017
CA-506,CA,"Salinas/Monterey, San Benito Counties CoC",2959,374,478,0,852,2107,2506,453,598,176,46,2015
CA-506,CA,"Salinas/Monterey, San Benito Counties CoC",2962,287,469,0,756,2206,2286,676,1089,238,,2014
CA-506,CA,"Salinas/Monterey, San Benito Counties CoC",2673,267,495,0,762,1911,1761,912,822,290,,2012
CA-506,CA,"Salinas/Monterey, San Benito Counties CoC",3022,453,462,0,915,2107,2536,486,660,204,46,2016
CA-506,CA,"Salinas/Monterey, San Benito Counties CoC",2955,355,394,0,749,2206,2292,663,1038,250,,2013
CA-507,CA,Marin County CoC,679,208,293,0,501,178,460,219,62,52,,2014
CA-507,CA,Marin County CoC,1095,237,150,0,387,708,920,175,399,89,18,2018
CA-507,CA,Marin County CoC,676,188,317,0,505,171,438,238,89,54,,2013
CA-507,CA,Marin County CoC,1318,229,254,0,483,835,1115,203,281,66,6,2015
CA-507,CA,Marin County CoC,725,201,295,0,496,229,516,209,163,51,,2012
CA-507,CA,Marin County CoC,1258,216,207,0,423,835,1070,188,257,78,6,2016
CA-507,CA,Marin County CoC,1117,226,183,0,409,708,917,200,359,94,18,2017
CA-508,CA,Watsonville/Santa Cruz City & County CoC,3529,361,273,0,634,2895,2996,533,981,393,,2014
CA-508,CA,Watsonville/Santa Cruz City & County CoC,1959,387,218,0,605,1354,1454,505,573,146,32,2016
CA-508,CA,Watsonville/Santa Cruz City & County CoC,1964,396,214,0,610,1354,1483,481,582,151,28,2015
CA-508,CA,Watsonville/Santa Cruz City & County CoC,2735,370,240,0,610,2125,2345,390,990,271,,2012
CA-508,CA,Watsonville/Santa Cruz City & County CoC,2249,271,179,0,450,1799,1846,403,600,236,163,2017
CA-508,CA,Watsonville/Santa Cruz City & County CoC,3536,402,239,0,641,2895,2992,544,989,395,,2013
CA-508,CA,Watsonville/Santa Cruz City & County CoC,2320,320,201,0,521,1799,1911,409,634,245,169,2018
CA-509,CA,Mendocino County CoC,1392,106,68,0,174,1218,1267,125,227,55,,2013
CA-509,CA,Mendocino County CoC,1441,97,30,0,127,1314,1347,94,319,84,,2012
CA-509,CA,Mendocino County CoC,1404,117,69,0,186,1218,1256,148,221,46,,2014
CA-509,CA,Mendocino County CoC,1238,113,47,0,160,1078,1179,59,97,24,0,2017
CA-509,CA,Mendocino County CoC,947,112,40,0,152,795,818,129,112,39,0,2015
CA-509,CA,Mendocino County CoC,880,94,63,0,157,723,829,51,96,12,0,2018
CA-509,CA,Mendocino County CoC,1242,117,75,0,192,1050,1147,95,177,19,0,2016
CA-510,CA,"Turlock, Modesto/Stanislaus County CoC",1201,337,219,0,556,645,941,260,205,87,,2013
CA-510,CA,"Turlock, Modesto/Stanislaus County CoC",1408,558,167,0,725,683,1135,273,59,102,19,2015
CA-510,CA,"Turlock, Modesto/Stanislaus County CoC",1356,578,172,0,750,606,1080,276,241,87,3,2018
CA-510,CA,"Turlock, Modesto/Stanislaus County CoC",1470,322,357,0,679,791,861,609,306,49,,2012
CA-510,CA,"Turlock, Modesto/Stanislaus County CoC",1434,566,138,0,704,730,1147,287,361,74,10,2016
CA-510,CA,"Turlock, Modesto/Stanislaus County CoC",1661,683,157,0,840,821,1256,405,178,100,2,2017
CA-510,CA,"Turlock, Modesto/Stanislaus County CoC",1156,447,266,0,713,443,824,332,146,69,,2014
CA-511,CA,Stockton/San Joaquin County CoC,1542,794,181,0,975,567,1016,526,254,109,5,2017
CA-511,CA,Stockton/San Joaquin County CoC,1685,927,191,0,1118,567,1054,631,262,96,3,2018
CA-511,CA,Stockton/San Joaquin County CoC,1780,609,636,0,1245,535,947,833,247,138,4,2016
CA-511,CA,Stockton/San Joaquin County CoC,1588,744,581,0,1325,263,713,875,116,87,,2014
CA-511,CA,Stockton/San Joaquin County CoC,1541,760,518,0,1278,263,794,747,204,83,,2013
CA-511,CA,Stockton/San Joaquin County CoC,1708,628,545,0,1173,535,957,751,293,144,1,2015
CA-511,CA,Stockton/San Joaquin County CoC,1569,819,503,0,1322,247,739,830,236,80,,2012
CA-512,CA,Daly/San Mateo County CoC,1483,289,419,0,708,775,967,516,319,183,5,2015
CA-512,CA,Daly/San Mateo County CoC,1238,258,343,0,601,637,811,427,238,100,5,2018
CA-512,CA,Daly/San Mateo County CoC,1361,166,420,0,586,775,911,450,238,136,4,2016
CA-512,CA,Daly/San Mateo County CoC,2024,271,454,0,725,1299,1363,661,897,225,,2014
CA-512,CA,Daly/San Mateo County CoC,1253,211,405,0,616,637,822,431,234,105,5,2017
CA-512,CA,Daly/San Mateo County CoC,1845,156,527,0,683,1162,1274,571,496,173,,2012
CA-512,CA,Daly/San Mateo County CoC,1995,240,456,0,696,1299,1374,621,889,245,,2013
CA-513,CA,"Visalia/Kings, Tulare Counties CoC",853,206,148,0,354,499,732,121,251,45,0,2017
CA-513,CA,"Visalia/Kings, Tulare Counties CoC",705,182,227,0,409,296,547,158,187,43,,2013
CA-513,CA,"Visalia/Kings, Tulare Counties CoC",763,161,225,0,386,377,609,154,235,36,,2014
CA-513,CA,"Visalia/Kings, Tulare Counties CoC",862,161,256,0,417,445,725,137,349,51,1,2015
CA-513,CA,"Visalia/Kings, Tulare Counties CoC",967,158,157,0,315,652,823,144,288,46,3,2018
CA-513,CA,"Visalia/Kings, Tulare Counties CoC",792,155,171,0,326,466,646,146,251,37,0,2016
CA-513,CA,"Visalia/Kings, Tulare Counties CoC",771,147,269,0,416,355,566,205,201,40,,2012
CA-514,CA,Fresno City & County/Madera County CoC,2592,297,389,23,709,1883,2203,389,497,272,,2014
CA-514,CA,Fresno City & County/Madera County CoC,1722,208,307,24,539,1183,1410,312,368,227,3,2015
CA-514,CA,Fresno City & County/Madera County CoC,2016,333,130,24,487,1529,1742,274,692,211,5,2017
CA-514,CA,Fresno City & County/Madera County CoC,4492,141,506,23,670,3822,3554,938,824,606,,2012
CA-514,CA,Fresno City & County/Madera County CoC,1883,232,197,23,452,1431,1684,199,546,228,2,2016
CA-514,CA,Fresno City & County/Madera County CoC,2144,331,108,24,463,1681,1886,258,524,211,12,2018
CA-514,CA,Fresno City & County/Madera County CoC,3131,184,388,22,594,2537,2421,710,793,338,,2013
CA-515,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",979,400,121,0,521,458,772,207,232,44,0,2017
CA-515,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",796,216,81,0,297,499,611,185,334,64,7,2015
CA-515,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",762,166,73,0,239,523,619,143,240,73,,2014
CA-515,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",742,172,215,0,387,355,508,234,168,59,,2012
CA-515,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",908,196,189,0,385,523,689,219,222,92,,2013
CA-515,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",1021,331,191,0,522,499,861,160,347,67,1,2016
CA-515,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",950,367,125,0,492,458,766,184,327,55,0,2018
CA-516,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1272,185,127,0,312,960,1065,207,425,98,7,2016
CA-516,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",630,201,347,0,548,82,461,169,125,62,,2014
CA-516,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",591,154,90,0,244,347,504,87,298,87,0,2015
CA-516,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",934,264,266,0,530,404,721,213,341,103,0,2017
CA-516,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",524,250,92,0,342,182,384,140,180,67,,2012
CA-516,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",851,260,244,0,504,347,631,220,199,203,,2013
CA-516,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1149,248,211,0,459,690,955,194,431,124,5,2018
CA-517,CA,Napa City & County CoC,322,122,46,0,168,154,276,46,158,23,0,2018
CA-517,CA,Napa City & County CoC,317,143,56,0,199,118,235,82,98,22,0,2016
CA-517,CA,Napa City & County CoC,245,119,58,0,177,68,168,77,81,19,,2013
CA-517,CA,Napa City & County CoC,248,109,47,0,156,92,184,64,85,14,,2012
CA-517,CA,Napa City & County CoC,285,135,59,0,194,91,205,80,73,23,,2014
CA-517,CA,Napa City & County CoC,293,132,47,0,179,114,226,67,132,19,0,2015
CA-517,CA,Napa City & County CoC,315,148,51,0,199,116,233,82,134,17,0,2017
CA-518,CA,Vallejo/Solano County CoC,1129,144,68,0,212,917,1052,77,461,124,18,2018
CA-518,CA,Vallejo/Solano County CoC,1118,170,153,0,323,795,955,163,259,119,9,2016
CA-518,CA,Vallejo/Solano County CoC,1232,132,183,0,315,917,1070,162,434,156,18,2017
CA-518,CA,Vallejo/Solano County CoC,1295,178,228,0,406,889,1085,210,350,80,,2014
CA-518,CA,Vallejo/Solano County CoC,1082,108,179,0,287,795,968,114,227,89,9,2015
CA-518,CA,Vallejo/Solano County CoC,622,154,233,0,387,235,383,239,64,28,,2012
CA-518,CA,Vallejo/Solano County CoC,1329,193,247,0,440,889,1163,166,414,88,,2013
